Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
491. BASTE | score: 27.4980 | visits: 27
492. GRACE | score: 27.4980 | visits: 27
493. CRAPE | score: 27.4980 | visits: 27
494. ATONY | score: 27.4980 | visits: 27
495. RAILE | score: 27.4979 | visits: 27
496. CLONE | score: 27.4977 | visits: 27
497. ABORE | score: 27.4977 | visits: 27
498. OATEN | score: 27.4976 | visits: 27
499. FRATE | score: 27.4976 | visits: 27
500. SAINT | score: 27.4976 | visits: 27
501. CESTA | score: 27.4976 | visits: 27
502. TROIS | score: 27.4976 | visits: 27
503. MOSEY | score: 27.4974 | visits: 27
504. HEART | score: 27.4974 | visits: 27
505. YATES | score: 27.4974 | visits: 27
506. ROUTE | score: 27.4973 | visits: 27
507. SHALE | score: 27.4973 | visits: 27
508. CERTY | score: 27.4973 | visits: 27
509. SPUER | score: 27.4973 | visits: 27
510. RATOS | score: 27.4973 | visits: 27
511. SEAMY | score: 27.4972 | visits: 27
512. WRIES | score: 27.4972 | visits: 27
513. TRODE | score: 27.4971 | visits: 27
514. SOREE | score: 27.4971 | visits: 27
515. CARET | score: 27.4971 | visits: 27
516. SWAGE | score: 27.4971 | visits: 27
517. SOKEN | score: 27.4970 | visits: 27
518. SPINE | score: 27.4970 | visits: 27
519. MOSTE | score: 27.4970 | visits: 27
520. SUCRE | score: 27.4970 | visits: 27
521. SAUNT | score: 27.4969 | visits: 27
522. NEATS | score: 27.4969 | visits: 27
523. INSET | score: 27.4969 | visits: 27
524. TEILS | score: 27.4968 | visits: 27
525. LOURE | score: 27.4968 | visits: 27
526. TOLES | score: 27.4968 | visits: 27
527. CRIES | score: 27.4968 | visits: 27
528. STOKE | score: 27.4967 | visits: 27
529. TRONA | score: 27.4967 | visits: 27
530. RAINE | score: 27.4967 | visits: 27
531. SCAUR | score: 27.4966 | visits: 27
532. BORES | score: 27.4965 | visits: 27
533. SEPAL | score: 27.4964 | visits: 27
534. READY | score: 27.4964 | visits: 27
535. SCOPE | score: 27.4963 | visits: 27
536. LEWIS | score: 27.4963 | visits: 27
537. ROSTI | score: 27.4963 | visits: 27
538. WISER | score: 27.4962 | visits: 27
539. NEIST | score: 27.4962 | visits: 27
540. SYTHE | score: 27.4962 | visits: 27
541. SUENT | score: 27.4962 | visits: 27
542. SHIER | score: 27.4961 | visits: 27
543. SEPTA | score: 27.4960 | visits: 27
544. TEINS | score: 27.4960 | visits: 27
545. TAWER | score: 27.4959 | visits: 27
546. LEANY | score: 27.4958 | visits: 27
547. TOWER | score: 27.4958 | visits: 27
548. SPILE | score: 27.4958 | visits: 27
549. SIENT | score: 27.4958 | visits: 27
550. IRADE | score: 27.4957 | visits: 27
551. CRONS | score: 27.4957 | visits: 27
552. PYRES | score: 27.4956 | visits: 27
553. SOLEI | score: 27.4956 | visits: 27
554. OWRES | score: 27.4956 | visits: 27
555. SPEAN | score: 27.4955 | visits: 27
556. ROWTS | score: 27.4955 | visits: 27
557. DEAIR | score: 27.4954 | visits: 27
558. TIARS | score: 27.4953 | visits: 27
559. ROULE | score: 27.4952 | visits: 27
